DIVISAO;LOJA;SEQPRODUTO;DESCCOMPLETA;CODFORN;RAZAO;STATUS;MEDIAVENDAUNDIA;ESTOQUE;PARMIN;PARMAX;PENDCPA;EMBCPA;CATEGORIA;STATUS_COMPRA_CD1;STATUS_COMPRA_CD2;STATUS_COMPRA_CD3;STATUS_COMPRA_CD4;ESTQ_CD1;ESTQ_CD2;ESTQ_CD3;ESTQ_CD4;PENDCD_CD1;PENDCD_CD2;PENDCD_CD3;PENDCD_CD4;DIAS_ATIVACAOGERAL;DATA_ATIVACAOGERAL;DTA_ULTATIVACAO;ULTIMA_ENTRADALOJA;ULTIMA_SAIDALOJA;DIAS_DA_COMPRALJ;DIAS_DA_COMPRACD1;DIAS_DA_COMPRACD2;DIAS_DA_COMPRACD3;DIAS_DA_COMPRACD4;DIAS_RECEBTO_CD1;DIAS_RECEBTO_CD2;DIAS_RECEBTO_CD3;DIAS_RECEBTO_CD4;DIAS_RUPTURA;ULTIMACPALOJA;ULTIMACPACD1;ULTIMACPACD2;ULTIMACPACD3;ULTIMACPACD4;FAMILIA;CUSTO_LIQUIDO
COMPER MT;73;1252;CD.GEL CLOSE UP 90G RED HOT;10006;UNILEVER BRASIL LTDA HPC (PC);A;1,828571;145;29;101;0;72;60-MERCEARIA \ 34-PERFUMARIA \ HIGIENE ORAL \ CREME DENTAL \ GEL;A;I;A;A;0;0;0;0;1;0;1;0;3700;22/10/2015;2015-10-22-00.00.00.000000;05/12/2025;07/12/2025;;5;;5;;6;710;;798;;28;;;;824;259943;4,949958
COMPER MT;73;1830;BEB.ENERG.RED BULL 250ML;51802;RED BULL DO BRASIL LTDA;A;16,385714;44;88;136;0;24;60-MERCEARIA \ 33-LIQUIDA \ HIDRATACAO \ ENERGETICO \ LATA;A;I;A;I;1;0;0;0;1;0;0;0;4275;27/03/2014;;02/12/2025;07/12/2025;;10;;;;0;;;;;6;;;;1154;144;8,589735
COMPER MT;73;2500;ALIM.GATOS FRISKIES 1KG PETISCO MAR;10049;NESTLE BRASIL LTDA;A;,142857;10;6;16;0;10;63-BAZAR \ 49-LAZER \ PET \ ALIMENTO PARA GATO \ SECO ADULTO;A;I;I;I;0;0;0;0;0;0;0;0;1399;08/02/2022;2023-02-06-00.00.00.000000;19/11/2025;28/11/2025;;;;;;24;;;;;22;34;;;;1027;16,726818
COMPER MT;73;2526;ALIM.GATOS FRISKIES 1KG MIX CARNE;10049;NESTLE BRASIL LTDA;A;,071429;10;6;16;0;10;63-BAZAR \ 49-LAZER \ PET \ ALIMENTO PARA GATO \ SECO ADULTO;A;I;A;I;1;0;0;0;0;0;0;0;465;30/08/2024;2024-08-20-00.00.00.000000;26/09/2025;05/12/2025;;;;;;24;;;;;75;34;;;;176;18,378661
COMPER MT;73;3140;ALIM.CAES DOGUITOS 65G BIFINHO CARNE;10049;NESTLE BRASIL LTDA;A;,5;13;9;29;0;20;63-BAZAR \ 49-LAZER \ PET \ ALIMENTO PARA CAO \ PETISCO;A;I;A;I;1;0;0;0;1;0;0;0;1566;25/08/2021;2024-08-20-00.00.00.000000;09/10/2025;01/11/2025;;76;;;;24;;;;;62;;;;;1114;5,379289
COMPER MT;73;3166;ALIM.CAES DOGUITOS 65G BIFINHO FRANGO;10049;NESTLE BRASIL LTDA;A;1,2;19;8;28;0;20;63-BAZAR \ 49-LAZER \ PET \ ALIMENTO PARA CAO \ PETISCO;A;I;A;I;1;0;0;0;1;0;0;0;466;29/08/2024;2024-08-20-00.00.00.000000;03/12/2025;06/12/2025;;76;;;;24;;;;;8;;;;;1114;5,566436
COMPER MT;73;4146;LAVA LOUCAS YPE 500ML LIQ. CLEAR;10154;QUIMICA AMPARO;A;12,628571;40;44;116;24;24;60-MERCEARIA \ 35-LIMPEZA \ CUIDADOS COM A COZINHA \ LAVA LOU A \ LIQUIDO;A;I;A;I;1;0;0;0;0;0;0;0;4274;27/03/2014;;05/12/2025;07/12/2025;5;;;;;69;;;;;;70;;;;284;2,162083
COMPER MT;73;4154;LAVA LOUCAS YPE 500ML LIQ. COCO;10154;QUIMICA AMPARO;A;26,842857;120;89;233;0;24;60-MERCEARIA \ 35-LIMPEZA \ CUIDADOS COM A COZINHA \ LAVA LOU A \ LIQUIDO;A;I;A;I;1;0;0;0;0;0;0;0;4274;27/03/2014;;06/12/2025;08/12/2025;;;;;;54;;;;;4;69;;;;284;2,159998
COMPER MT;73;4170;LAVA LOUCAS YPE 500ML LIQ. LIMAO;10154;QUIMICA AMPARO;A;10,028571;24;32;80;24;24;60-MERCEARIA \ 35-LIMPEZA \ CUIDADOS COM A COZINHA \ LAVA LOU A \ LIQUIDO;A;I;A;I;1;0;0;0;0;0;0;0;4274;27/03/2014;;05/12/2025;08/12/2025;5;;;;;48;;;;;;69;;;;284;2,159143
COMPER MT;73;4189;LAVA LOUCAS YPE 500ML LIQ. MACA;10154;QUIMICA AMPARO;A;9,728571;43;32;80;24;24;60-MERCEARIA \ 35-LIMPEZA \ CUIDADOS COM A COZINHA \ LAVA LOU A \ LIQUIDO;A;I;A;I;1;0;0;0;0;0;0;0;4274;27/03/2014;;06/12/2025;08/12/2025;5;;;;;54;;;405;;;69;;;;284;2,154166
COMPER MT;73;4197;LAVA LOUCAS YPE 500ML LIQ. NEUTRO;10154;QUIMICA AMPARO;A;37,328571;186;115;307;24;24;60-MERCEARIA \ 35-LIMPEZA \ CUIDADOS COM A COZINHA \ LAVA LOU A \ LIQUIDO;A;I;A;I;1;0;0;0;0;0;0;0;4274;27/03/2014;;06/12/2025;08/12/2025;5;;;;;49;;;;;;69;;;;284;2,148749
COMPER MT;73;4294;AMAC.ROUPAS YPE 500ML ACONCHEG.(AZUL);10154;QUIMICA AMPARO;A;1,571429;0;10;34;0;24;60-MERCEARIA \ 35-LIMPEZA \ CUIDADOS COM A ROUPA \ AMACIANTES \ REGULAR ATE 2L;A;I;A;I;0;0;0;0;1;0;0;0;4274;27/03/2014;;22/10/2025;03/12/2025;;21;;;;56;;;;5;49;;;;;290;2,85375
COMPER MT;73;4413;AMAC.ROUPAS YPE 2L ACONCHEG.(AZUL);10154;QUIMICA AMPARO;A;4,071429;14;12;30;0;6;60-MERCEARIA \ 35-LIMPEZA \ CUIDADOS COM A ROUPA \ AMACIANTES \ REGULAR ATE 2L;A;I;A;I;0;0;0;0;1;0;0;0;4274;27/03/2014;;29/11/2025;06/12/2025;;20;;;;54;;;;;12;;;;;294;8,074991
COMPER MT;73;4421;AMAC.ROUPAS YPE 2L PRIMAVERA;10154;QUIMICA AMPARO;A;,857143;10;8;14;0;6;60-MERCEARIA \ 35-LIMPEZA \ CUIDADOS COM A ROUPA \ AMACIANTES \ REGULAR ATE 2L;A;I;A;I;1;0;0;0;1;0;0;0;4274;27/03/2014;;29/11/2025;04/12/2025;;20;;;;40;;;;;12;;;;;294;8,103246
COMPER MT;73;4553;ERVA MATE TERERE CRIOULA 500G ALMOF.;10219;SANTO ANTONIO IND.COM.IMP.EXP.ALIM.LTDA.;A;,385714;35;12;42;0;30;60-MERCEARIA \ 32-ALIMENT.COMPLEMENTAR \ MATINAIS \ CHIMARR O-TERERE \ TERERE;A;I;A;I;1;0;0;0;0;0;0;0;4275;26/03/2014;;28/11/2025;08/12/2025;;;;;;3;;;;;13;11;;;;302;5,798658
COMPER MT;73;4570;ERVA MATE STO ANTONIO 500G. TRADICIONAL;10219;SANTO ANTONIO IND.COM.IMP.EXP.ALIM.LTDA.;A;,3;18;12;42;0;30;60-MERCEARIA \ 32-ALIMENT.COMPLEMENTAR \ MATINAIS \ CHIMARR O-TERERE \ TERERE;A;I;A;I;1;0;0;0;0;0;0;0;4275;27/03/2014;;24/09/2025;06/12/2025;;;;;;3;;;;;77;11;;;;304;5,674555
COMPER MT;73;4677;LIMP.AJAX 500ML LIMPEZA GERAL BOUQUET FLORES;10189;COLGATE PALMOLIVE COMERCIAL LTDA;A;,371429;32;24;36;0;12;60-MERCEARIA \ 35-LIMPEZA \ CUIDADOS COM A CASA \ LIMPADOR \ PERFUMADO;A;A;A;I;0;0;0;0;1;0;0;0;1313;05/05/2022;2022-05-05-00.00.00.000000;04/12/2025;06/12/2025;;6;;;;7;531;;;;7;;548;;;313;4,448041
COMPER MT;73;4715;LIMP.AJAX 500ML LIMPEZA GERAL FLORES LAVANDA;10189;COLGATE PALMOLIVE COMERCIAL LTDA;A;1,085714;40;42;54;0;12;60-MERCEARIA \ 35-LIMPEZA \ CUIDADOS COM A CASA \ LIMPADOR \ PERFUMADO;A;A;A;I;0;0;0;0;1;0;0;0;1313;05/05/2022;2022-05-05-00.00.00.000000;26/11/2025;06/12/2025;;6;;;;20;585;;;;15;;601;;;313;4,456114
COMPER MT;73;4758;LIMP.AJAX 500ML FRESH BLUE;10189;COLGATE PALMOLIVE COMERCIAL LTDA;A;,185714;19;8;20;0;12;60-MERCEARIA \ 35-LIMPEZA \ CUIDADOS COM A CASA \ LIMPADOR \ LIMPEZA PESADA;A;A;A;I;1;0;0;0;1;0;0;0;1313;05/05/2022;2022-05-05-00.00.00.000000;04/12/2025;29/11/2025;;6;;;;7;531;;;;7;;548;;;315;7,101545
COMPER MT;73;4766;LIMP.AJAX 500ML FRESH LEMON;10189;COLGATE PALMOLIVE COMERCIAL LTDA;A;,628571;18;20;32;12;12;60-MERCEARIA \ 35-LIMPEZA \ CUIDADOS COM A CASA \ LIMPADOR \ LIMPEZA PESADA;A;A;A;I;1;0;0;0;1;0;0;0;4275;27/03/2014;;22/11/2025;07/12/2025;1;6;;;;7;531;;;;;;548;;;315;7,108169
COMPER MT;73;4774;LIMP.AJAX 500ML FRESH;10189;COLGATE PALMOLIVE COMERCIAL LTDA;A;,342857;18;8;20;0;12;60-MERCEARIA \ 35-LIMPEZA \ CUIDADOS COM A CASA \ LIMPADOR \ LIMPEZA PESADA;A;A;A;I;1;0;0;0;1;0;0;0;2281;10/09/2019;;04/12/2025;05/12/2025;;6;;;;20;585;;;;7;;601;;;315;7,108445
COMPER MT;173;3134032;BOMBOM SORV.BACIO 90G C/12 LEITE;84576006;HISA IMPORTACAOO EXPORTACAO E DISTRIBUIDORA LTDA;A;0;0;0;0;0;12;62-PERECIVEIS \ 40-CONGELADOS \ SORVETES \ TRADICIONAIS \ FAMILIA;I;I;I;;0;0;0;0;0;0;0;0;3;05/12/2025;2025-12-05-00.00.00.000000;;;;;;;;;;;;;;;;;;400962;0
COMPER MT;173;3134040;BOMBOM SORV.BACIO 90G FRAMB.;84576006;HISA IMPORTACAOO EXPORTACAO E DISTRIBUIDORA LTDA;A;0;0;0;0;0;12;62-PERECIVEIS \ 40-CONGELADOS \ SORVETES \ TRADICIONAIS \ FAMILIA;I;I;I;;0;0;0;0;0;0;0;0;3;05/12/2025;2025-12-05-00.00.00.000000;;;;;;;;;;;;;;;;;;400963;0
COMPER MT;173;3134067;BOMBOM SORV.BACIO 90G PISTACCHIO;84576006;HISA IMPORTACAOO EXPORTACAO E DISTRIBUIDORA LTDA;A;0;0;0;0;0;12;62-PERECIVEIS \ 40-CONGELADOS \ SORVETES \ TRADICIONAIS \ FAMILIA;I;I;I;;0;0;0;0;0;0;0;0;3;05/12/2025;2025-12-05-00.00.00.000000;;;;;;;;;;;;;;;;;;400964;0
